d,date,time,weekday,workday,humidity,temperature
2019-03-14 02:10:00,2019-03-14,02:10:00,3,True,60.0,3.9
2019-03-14 02:15:00,2019-03-14,02:15:00,3,True,60.0,3.9
2019-03-14 02:20:00,2019-03-14,02:20:00,3,True,60.0,3.9
2019-03-14 02:25:00,2019-03-14,02:25:00,3,True,60.0,3.9
2019-03-14 02:30:00,2019-03-14,02:30:00,3,True,60.0,3.9
2019-03-14 02:35:00,2019-03-14,02:35:00,3,True,60.0,3.9
2019-03-14 02:40:00,2019-03-14,02:40:00,3,True,60.0,3.9
2019-03-14 02:45:00,2019-03-14,02:45:00,3,True,60.0,3.9
2019-03-14 02:50:00,2019-03-14,02:50:00,3,True,60.0,3.9
2019-03-14 02:55:00,2019-03-14,02:55:00,3,True,60.0,3.9
2019-03-14 03:00:00,2019-03-14,03:00:00,3,True,60.0,3.9
2019-03-14 03:05:00,2019-03-14,03:05:00,3,True,60.0,3.9
2019-03-14 03:10:00,2019-03-14,03:10:00,3,True,60.0,3.9
2019-03-14 03:15:00,2019-03-14,03:15:00,3,True,65.0,3.9
2019-03-14 03:20:00,2019-03-14,03:20:00,3,True,65.0,3.9
2019-03-14 03:25:00,2019-03-14,03:25:00,3,True,65.0,3.9
2019-03-14 03:30:00,2019-03-14,03:30:00,3,True,65.0,3.9
2019-03-14 03:35:00,2019-03-14,03:35:00,3,True,65.0,3.9
2019-03-14 03:40:00,2019-03-14,03:40:00,3,True,65.0,3.9
2019-03-14 03:45:00,2019-03-14,03:45:00,3,True,80.0,2.8
2019-03-14 03:50:00,2019-03-14,03:50:00,3,True,80.0,2.8
2019-03-14 03:55:00,2019-03-14,03:55:00,3,True,80.0,2.8
2019-03-14 04:00:00,2019-03-14,04:00:00,3,True,80.0,2.8
2019-03-14 04:05:00,2019-03-14,04:05:00,3,True,80.0,2.8
2019-03-14 04:10:00,2019-03-14,04:10:00,3,True,80.0,2.8
2019-03-14 04:15:00,2019-03-14,04:15:00,3,True,80.0,2.8
2019-03-14 04:20:00,2019-03-14,04:20:00,3,True,80.0,2.8
2019-03-14 04:25:00,2019-03-14,04:25:00,3,True,80.0,2.8
2019-03-14 04:30:00,2019-03-14,04:30:00,3,True,80.0,2.8
2019-03-14 04:35:00,2019-03-14,04:35:00,3,True,80.0,2.8
2019-03-14 04:40:00,2019-03-14,04:40:00,3,True,80.0,2.8
2019-03-14 04:45:00,2019-03-14,04:45:00,3,True,93.0,2.2
2019-03-14 04:50:00,2019-03-14,04:50:00,3,True,93.0,2.2
2019-03-14 04:55:00,2019-03-14,04:55:00,3,True,93.0,2.2
2019-03-14 05:00:00,2019-03-14,05:00:00,3,True,93.0,2.2
2019-03-14 05:05:00,2019-03-14,05:05:00,3,True,93.0,2.2
2019-03-14 05:10:00,2019-03-14,05:10:00,3,True,93.0,2.2
2019-03-14 05:15:00,2019-03-14,05:15:00,3,True,93.0,2.2
2019-03-14 05:20:00,2019-03-14,05:20:00,3,True,93.0,2.2
2019-03-14 05:25:00,2019-03-14,05:25:00,3,True,93.0,2.2
2019-03-14 05:30:00,2019-03-14,05:30:00,3,True,93.0,2.2
2019-03-14 05:35:00,2019-03-14,05:35:00,3,True,93.0,2.2
2019-03-14 05:40:00,2019-03-14,05:40:00,3,True,93.0,2.2
2019-03-14 05:45:00,2019-03-14,05:45:00,3,True,93.0,2.2
2019-03-14 05:50:00,2019-03-14,05:50:00,3,True,93.0,2.2
2019-03-14 05:55:00,2019-03-14,05:55:00,3,True,93.0,2.2
2019-03-14 06:00:00,2019-03-14,06:00:00,3,True,93.0,2.2
2019-03-14 06:05:00,2019-03-14,06:05:00,3,True,93.0,2.2
2019-03-14 06:10:00,2019-03-14,06:10:00,3,True,93.0,2.2
2019-03-14 06:15:00,2019-03-14,06:15:00,3,True,93.0,1.1
2019-03-14 06:20:00,2019-03-14,06:20:00,3,True,93.0,1.1
2019-03-14 06:25:00,2019-03-14,06:25:00,3,True,93.0,1.1
2019-03-14 06:30:00,2019-03-14,06:30:00,3,True,93.0,1.1
2019-03-14 06:35:00,2019-03-14,06:35:00,3,True,93.0,1.1
2019-03-14 06:40:00,2019-03-14,06:40:00,3,True,93.0,1.1
2019-03-14 06:45:00,2019-03-14,06:45:00,3,True,93.0,2.2
2019-03-14 06:50:00,2019-03-14,06:50:00,3,True,93.0,2.2
2019-03-14 06:55:00,2019-03-14,06:55:00,3,True,93.0,2.2
2019-03-14 07:00:00,2019-03-14,07:00:00,3,True,93.0,2.2
2019-03-14 07:05:00,2019-03-14,07:05:00,3,True,93.0,2.2
2019-03-14 07:10:00,2019-03-14,07:10:00,3,True,93.0,2.2
2019-03-14 07:15:00,2019-03-14,07:15:00,3,True,93.0,2.2
2019-03-14 07:20:00,2019-03-14,07:20:00,3,True,93.0,2.2
2019-03-14 07:25:00,2019-03-14,07:25:00,3,True,93.0,2.2
2019-03-14 07:30:00,2019-03-14,07:30:00,3,True,93.0,2.2
2019-03-14 07:35:00,2019-03-14,07:35:00,3,True,93.0,2.2
2019-03-14 07:40:00,2019-03-14,07:40:00,3,True,93.0,2.2
2019-03-14 07:45:00,2019-03-14,07:45:00,3,True,93.0,2.2
2019-03-14 07:50:00,2019-03-14,07:50:00,3,True,93.0,2.2
2019-03-14 07:55:00,2019-03-14,07:55:00,3,True,93.0,2.2
2019-03-14 08:00:00,2019-03-14,08:00:00,3,True,93.0,2.2
2019-03-14 08:05:00,2019-03-14,08:05:00,3,True,93.0,2.2
2019-03-14 08:10:00,2019-03-14,08:10:00,3,True,93.0,2.2
2019-03-14 08:15:00,2019-03-14,08:15:00,3,True,93.0,2.2
2019-03-14 08:20:00,2019-03-14,08:20:00,3,True,93.0,2.2
2019-03-14 08:25:00,2019-03-14,08:25:00,3,True,93.0,2.2
2019-03-14 08:30:00,2019-03-14,08:30:00,3,True,93.0,2.2
2019-03-14 08:35:00,2019-03-14,08:35:00,3,True,93.0,2.2
2019-03-14 08:40:00,2019-03-14,08:40:00,3,True,93.0,2.2
2019-03-14 08:45:00,2019-03-14,08:45:00,3,True,93.0,2.2
2019-03-14 08:50:00,2019-03-14,08:50:00,3,True,93.0,2.2
2019-03-14 08:55:00,2019-03-14,08:55:00,3,True,93.0,2.2
2019-03-14 09:00:00,2019-03-14,09:00:00,3,True,93.0,2.2
2019-03-14 09:05:00,2019-03-14,09:05:00,3,True,93.0,2.2
2019-03-14 09:10:00,2019-03-14,09:10:00,3,True,93.0,2.2
2019-03-14 09:15:00,2019-03-14,09:15:00,3,True,93.0,2.2
2019-03-14 09:20:00,2019-03-14,09:20:00,3,True,93.0,2.2
2019-03-14 09:25:00,2019-03-14,09:25:00,3,True,93.0,2.2
2019-03-14 09:30:00,2019-03-14,09:30:00,3,True,93.0,2.2
2019-03-14 09:35:00,2019-03-14,09:35:00,3,True,93.0,2.2
2019-03-14 09:40:00,2019-03-14,09:40:00,3,True,93.0,2.2
2019-03-14 09:45:00,2019-03-14,09:45:00,3,True,93.0,2.2
2019-03-14 09:50:00,2019-03-14,09:50:00,3,True,93.0,2.2
2019-03-14 09:55:00,2019-03-14,09:55:00,3,True,93.0,2.2
2019-03-14 10:00:00,2019-03-14,10:00:00,3,True,93.0,2.2
2019-03-14 10:05:00,2019-03-14,10:05:00,3,True,93.0,2.2
2019-03-14 10:10:00,2019-03-14,10:10:00,3,True,93.0,2.2
2019-03-14 10:15:00,2019-03-14,10:15:00,3,True,86.0,2.8
2019-03-14 10:20:00,2019-03-14,10:20:00,3,True,86.0,2.8
2019-03-14 10:25:00,2019-03-14,10:25:00,3,True,86.0,2.8
2019-03-14 10:30:00,2019-03-14,10:30:00,3,True,86.0,2.8
2019-03-14 10:35:00,2019-03-14,10:35:00,3,True,86.0,2.8
2019-03-14 10:40:00,2019-03-14,10:40:00,3,True,86.0,2.8
2019-03-14 10:45:00,2019-03-14,10:45:00,3,True,93.0,2.8
2019-03-14 10:50:00,2019-03-14,10:50:00,3,True,93.0,2.8
2019-03-14 10:55:00,2019-03-14,10:55:00,3,True,93.0,2.8
2019-03-14 11:00:00,2019-03-14,11:00:00,3,True,93.0,2.8
2019-03-14 11:05:00,2019-03-14,11:05:00,3,True,93.0,2.8
2019-03-14 11:10:00,2019-03-14,11:10:00,3,True,93.0,2.8
2019-03-14 11:15:00,2019-03-14,11:15:00,3,True,93.0,2.8
2019-03-14 11:20:00,2019-03-14,11:20:00,3,True,93.0,2.8
2019-03-14 11:25:00,2019-03-14,11:25:00,3,True,93.0,2.8
2019-03-14 11:30:00,2019-03-14,11:30:00,3,True,93.0,2.8
2019-03-14 11:35:00,2019-03-14,11:35:00,3,True,93.0,2.8
2019-03-14 11:40:00,2019-03-14,11:40:00,3,True,93.0,2.8
2019-03-14 11:45:00,2019-03-14,11:45:00,3,True,86.0,3.9
2019-03-14 11:50:00,2019-03-14,11:50:00,3,True,86.0,3.9
2019-03-14 11:55:00,2019-03-14,11:55:00,3,True,86.0,3.9
2019-03-14 12:00:00,2019-03-14,12:00:00,3,True,86.0,3.9
2019-03-14 12:05:00,2019-03-14,12:05:00,3,True,86.0,3.9
2019-03-14 12:10:00,2019-03-14,12:10:00,3,True,86.0,3.9
2019-03-14 12:15:00,2019-03-14,12:15:00,3,True,93.0,5.0
2019-03-14 12:20:00,2019-03-14,12:20:00,3,True,93.0,5.0
2019-03-14 12:25:00,2019-03-14,12:25:00,3,True,93.0,5.0
2019-03-14 12:30:00,2019-03-14,12:30:00,3,True,93.0,5.0
2019-03-14 12:35:00,2019-03-14,12:35:00,3,True,93.0,5.0
2019-03-14 12:40:00,2019-03-14,12:40:00,3,True,93.0,5.0
